# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
9M	YQZ	YWL		0	BEH
9M	YVR	YBL		0	BEH
9M	YVR	YDQ		0	DH1
9M	YVR	YKA		0	BEH
9M	YVR	YQQ		0	BEH
9M	YVR	YQZ		0	BEH
9M	YVR	YWL		0	BEH
9M	YWL	YQZ		0	BEH
9M	YWL	YVR		0	BEH
9M	YXJ	YEG		0	D38 DH3
9M	YXJ	YXS		0	BEH
9M	YXJ	YYE		0	D38 BEH DH3
9M	YXS	YKA		0	BEH
9M	YXS	YLW		0	BEH
9M	YXS	YXJ		0	BEH
9M	YXS	YXT		0	DH3
9M	YXS	YYC		0	DH3
9M	YXS	YYD		0	BEH
9M	YXS	YYE		0	BEH
9M	YXT	YXS		0	DH3
9M	YYC	YEG		0	D38 BEH DH3
9M	YYC	YLL		0	BEH D38
9M	YYC	YXS		0	DH3
9M	YYD	YXS		0	BEH
9M	YYE	YDQ		0	DH1
9M	YYE	YXJ		0	D38 BEH DH3
9M	YYE	YXS		0	BEH
9N	BCV	BZE		0	CNC
9N	BCV	CUK		0	CNC
9N	BCV	SPR		0	CNC
9N	BCV	SQS		0	CNC
9N	BCV	TZA		0	CNC
9N	BZE	BCV		0	CNC
9N	BZE	CUK		0	CNC
9N	BZE	CUN		0	CNC
9N	BZE	DGA		0	CNC
9N	BZE	FRS		0	CNC
9N	BZE	MID		0	CNC
9N	BZE	PLJ		0	CNC
9N	BZE	RTB		0	CNC
9N	BZE	SAP		0	CNC
9N	BZE	SPR		0	CNC
9N	BZE	SQS		0	CNC
9N	BZE	TZA		0	CNC
9N	CUK	BCV		0	CNC
9N	CUK	BZE		0	CNC
9N	CUK	SPR		0	CNC
9N	CUK	TZA		0	CNC
9N	CUN	BZE		0	CNC
9N	CZH	SPR		0	CNC
9N	DGA	BZE		0	CNC
9N	DGA	PLJ		0	CNC
9N	DGA	TZA		0	CNC
9N	FRS	BZE		0	CNC
9N	MID	BZE		0	CNC
9N	PLJ	BZE		0	CNC
9N	PLJ	DGA		0	CNC
9N	PLJ	PND		0	CNC
9N	PND	PLJ		0	CNC
9N	RTB	BZE		0	CNC
9N	SAP	BZE		0	CNC
9N	SPR	BCV		0	CNC
9N	SPR	BZE		0	CNC
9N	SPR	CUK		0	CNC
9N	SPR	CZH		0	CNC
9N	SPR	SQS		0	CNC
9N	SPR	TZA		0	CNC
9N	SQS	BCV		0	CNC
9N	SQS	BZE		0	CNC
9N	SQS	SPR		0	CNC
9N	SQS	TZA		0	CNC
9N	TZA	BCV		0	CNC
9N	TZA	BZE		0	CNC
9N	TZA	CUK		0	CNC
9N	TZA	DGA		0	CNC
9N	TZA	SPR		0	CNC
9N	TZA	SQS		0	CNC
9Q	GDT	PLS		0	CNT
9Q	GDT	SLX		0	CNT
9Q	PLS	GDT		0	CNT
9Q	SLX	GDT		0	CNT
9R	ACR	LCR		0	BE1
9R	ACR	SVI		0	BE1
9R	ADZ	PVA		0	L4T
9R	APO	BOG		0	ER4
9R	APO	EOH		0	AT7
9R	AUC	BOG		0	E70
9R	BOG	APO		0	ER4
9R	BOG	AUC		0	E70
9R	BOG	BUN		0	AT5
9R	BOG	CZU		0	AT7
9R	BOG	EOH		0	ER4 AT5 AT7
9R	BOG	FLA		0	AT5
9R	BOG	IPI		0	BE1
9R	BOG	MVP		0	E70
9R	BOG	PCR		0	E70
9R	BOG	PDA		0	E70
9R	BOG	PSO		0	E70
9R	BOG	PUU		0	AT5
9R	BOG	RVE		0	AT5
9R	BOG	SJE		0	AT5
9R	BOG	SVI		0	BE1
9R	BOG	TME		0	AT5
9R	BOG	UIB		0	AT5
9R	BOG	VGZ		0	AT5
9R	BOG	VVC		0	AT7 BE1
9R	BSC	EOH		0	AT5
9R	BUN	BOG		0	AT5
9R	CLO	GPI		0	AT5
9R	CLO	PUU		0	AT5
9R	CLO	UIB		0	AT5
9R	CZU	BOG		0	AT7
9R	EOH	APO		0	AT7
9R	EOH	BOG		0	AT5 ER4 AT7
9R	EOH	BSC		0	AT5
9R	EOH	NQU		0	L4T
9R	EOH	UIB		0	AT5
9R	FLA	BOG		0	AT5
9R	GPI	CLO		0	AT5
9R	IPI	BOG		0	BE1
9R	LCR	ACR		0	BE1
9R	LCR	LET		0	BE1
9R	LET	LCR		0	BE1
9R	LET	LPD		0	BE1
9R	LET	TCD		0	BE1
9R	LMC	VVC		0	BE1
9R	LPD	LET		0	BE1
9R	LQM	PUU		0	AT5
9R	MVP	BOG		0	E70
9R	MVP	VVC		0	AT7
9R	NQU	EOH		0	L4T
9R	PCR	BOG		0	E70
9R	PCR	VVC		0	E70
9R	PDA	BOG		0	E70
9R	PDA	VVC		0	E70
9R	PSO	BOG		0	E70
9R	PUU	BOG		0	AT5
9R	PUU	CLO		0	AT5
9R	PUU	LQM		0	AT5
9R	PVA	ADZ		0	L4T
9R	RVE	BOG		0	AT5
9R	RVE	TME		0	AT5
9R	SJE	BOG		0	AT5
9R	SVI	ACR		0	BE1
9R	SVI	BOG		0	BE1
9R	TCD	LET		0	BE1
9R	TME	BOG		0	AT5
9R	TME	RVE		0	AT5
9R	UIB	BOG		0	AT5
9R	UIB	CLO		0	AT5
9R	UIB	EOH		0	AT5
9R	VGZ	BOG		0	AT5
9R	VVC	BOG		0	AT7 BE1
9R	VVC	LMC		0	BE1
9R	VVC	MVP		0	AT7
9R	VVC	PCR		0	E70
9R	VVC	PDA		0	E70
9U	AER	KIV		0	EM2
9U	ATH	KIV		0	E90
9U	BLQ	KIV		0	E90
9U	BVA	KIV		0	E90
9U	DME	KIV		0	320 E90
9U	DUB	KIV		0	E90
9U	FCO	KIV		0	E90
9U	FRA	KIV		0	E90
9U	IST	KIV		0	320 E90
9U	KBP	KIV		0	EM2
9U	KIV	AER		0	EM2
9U	KIV	ATH		0	E90
9U	KIV	BLQ		0	E90
9U	KIV	BVA		0	E90
9U	KIV	DME		0	320 E90
9U	KIV	DUB		0	E90
9U	KIV	FCO		0	E90
9U	KIV	FRA		0	E90
9U	KIV	IST		0	320 E90
9U	KIV	KBP		0	EM2
9U	KIV	LCA		0	E90
9U	KIV	LED		0	E90
9U	KIV	LIS		0	E90
9U	KIV	MXP		0	E90
9U	KIV	OTP		0	EM2
9U	KIV	SGC		0	E90
9U	KIV	STN		0	E90 320
9U	KIV	VCE		0	E90
9U	KIV	VRN		0	E90
9U	LCA	KIV		0	E90
9U	LED	KIV		0	E90
9U	LIS	KIV		0	E90
9U	MXP	KIV		0	E90
9U	OTP	KIV		0	EM2
9U	SGC	KIV		0	E90
9U	STN	KIV		0	E90 320
9U	VCE	KIV		0	E90
9U	VRN	KIV		0	E90
9V	AUA	CCS		0	732
9V	AUA	MAR		0	732
9V	BLA	CCS		0	734 732
9V	BLA	MIA		0	734
9V	BLA	PMV		0	732
9V	BLA	PTY		0	734
9V	BLA	PZO		0	732
9V	BLA	VLN		0	732
9V	BNS	CCS		0	732
9V	CCS	AUA		0	732
9V	CCS	BLA		0	734 732
9V	CCS	BNS		0	732
9V	CCS	CUR		0	732
9V	CCS	MAR		0	732
9V	CCS	MRD		0	F50
9V	CCS	PZO		0	F50
9V	CCS	VLV		0	F50
9V	CUR	CCS		0	732
9V	MAR	AUA		0	732
9V	MAR	CCS		0	732
9V	MAR	VLN		0	732
9V	MIA	BLA		0	734
9V	MRD	CCS		0	F50
9V	PMV	BLA		0	732
9V	PMV	CCS		0	732
9V	PTY	BLA		0	734
9V	PZO	BLA		0	732
9V	PZO	CCS		0	F50
9V	VLN	BLA		0	732
9V	VLN	MAR		0	732
9V	VLV	CCS		0	F50
9W	AJL	CCU	*	0	AT7
9W	AJL	GAU	*	0	AT7
9W	AMD	AUH		0	320
9W	AMD	BOM		0	738
9W	AMD	BOM	*	0	738 73H
9W	AMD	DEL	*	0	738 73W
9W	ATQ	DEL		0	738
9W	ATQ	DEL	*	0	AT7 73H 738
9W	AUH	AMD		0	320
9W	AUH	BLR		0	73H 320
9W	AUH	BOM		0	73H 320
9W	AUH	BOM	*	0	346
9W	AUH	CCJ		0	320
9W	AUH	CCJ	*	0	320
9W	AUH	COK		0	73H
9W	AUH	COK	*	0	320
9W	AUH	DEL		0	73H 320
9W	AUH	DEL	*	0	332
9W	AUH	DMM		0	73H
9W	AUH	HYD		0	73H
9W	AUH	HYD	*	0	320
9W	AUH	KWI		0	73H
9W	AUH	MAA		0	73H
9W	AUH	MAA	*	0	321 320
9W	AUH	TRV	*	0	320
9W	BAH	BOM		0	73H
9W	BDQ	BOM		0	73W 738 73H
9W	BHJ	BOM		0	73H
9W	BHJ	BOM	*	0	AT7
9W	BHO	BOM	*	0	73G 738
9W	BHO	DEL	*	0	AT7
9W	BHU	BOM	*	0	73G
9W	BKK	BOM		0	739 73H
9W	BKK	DEL		0	73H
9W	BLR	AUH		0	320 73H
9W	BLR	BOM		0	738 73W 73H 739
9W	BLR	BOM	*	0	73G 738 73H
9W	BLR	CCU	*	0	738
9W	BLR	CJB	*	0	AT7
9W	BLR	COK	*	0	AT7
9W	BLR	DEL		0	73H 738
9W	BLR	DEL	*	0	73H 739 738
9W	BLR	GOI	*	0	AT7
9W	BLR	HYD	*	0	AT7
9W	BLR	IDR	*	0	738
9W	BLR	IXE	*	0	AT7 738
9W	BLR	KUL	*	0	738
9W	BLR	MAA	*	0	739 AT7 738
9W	BLR	PNQ	*	0	738
9W	BLR	TRV	*	0	73H
9W	BLR	VTZ	*	0	73G
9W	BOM	AMD		0	738
9W	BOM	AMD	*	0	738 73H
9W	BOM	AUH		0	73H 320
9W	BOM	AUH	*	0	346
9W	BOM	BAH		0	73H
9W	BOM	BDQ		0	73W 738 73H
9W	BOM	BDQ	*	0	738
9W	BOM	BHJ		0	73H
9W	BOM	BHJ	*	0	AT7
9W	BOM	BHO	*	0	73G
9W	BOM	BHU	*	0	73G
9W	BOM	BKK		0	73H 739
9W	BOM	BLR		0	738 73W 739 73H
9W	BOM	BLR	*	0	738 73G 73W 73H
9W	BOM	BRU		0	332 333
9W	BOM	CCJ	*	0	738
9W	BOM	CCU		0	73H 738
9W	BOM	CCU	*	0	738
9W	BOM	CJB	*	0	738
9W	BOM	CMB		0	73H
9W	BOM	COK		0	73H
9W	BOM	DAC		0	739 73H
9W	BOM	DEL		0	739 73H 738
9W	BOM	DEL	*	0	73H 738
9W	BOM	DIU	*	0	AT7
9W	BOM	DMM		0	73H
9W	BOM	DOH		0	73H
9W	BOM	DXB		0	73H
9W	BOM	GOI		0	73H
9W	BOM	GOI	*	0	73G 738
9W	BOM	HKG		0	77W
9W	BOM	HYD		0	738 73H
9W	BOM	HYD	*	0	73G
9W	BOM	IDR	*	0	73H 73G
9W	BOM	IXC		0	738
9W	BOM	IXE		0	73H
9W	BOM	IXU		0	738
9W	BOM	IXU	*	0	AT7
9W	BOM	JAI		0	73W
9W	BOM	JAI	*	0	73G
9W	BOM	JDH		0	73H
9W	BOM	JED		0	739
9W	BOM	JNB		0	332
9W	BOM	KTM		0	73H 739
9W	BOM	KUL	*	0	772
9W	BOM	KWI		0	73H
9W	BOM	LHR		0	77W
9W	BOM	LKO		0	73H
9W	BOM	MAA		0	738 73H
9W	BOM	MCT		0	73H
9W	BOM	NAG	*	0	73G
9W	BOM	NBO	*	0	772
9W	BOM	NRT	*	0	737
9W	BOM	PNQ		0	738
9W	BOM	RAJ	*	0	73G
9W	BOM	RPR	*	0	738
9W	BOM	RUH		0	739 73H
9W	BOM	SIN		0	73H
9W	BOM	TRV		0	73H
9W	BOM	UDR	*	0	73H 73G
9W	BOM	VTZ		0	738
9W	BRU	BOM		0	333 332
9W	BRU	DEL		0	333
9W	BRU	EWR		0	333
9W	BRU	YYZ		0	332 333
9W	CCJ	AUH		0	320
9W	CCJ	AUH	*	0	320
9W	CCJ	BOM	*	0	738
9W	CCU	AJL	*	0	AT7
9W	CCU	BLR	*	0	738
9W	CCU	BOM		0	738 73H
9W	CCU	DAC		0	738
9W	CCU	DEL	*	0	738
9W	CCU	GAU	*	0	AT7 738
9W	CCU	IXA	*	0	AT7
9W	CCU	IXB		0	738
9W	CCU	IXR	*	0	AT7
9W	CCU	IXS	*	0	AT7
9W	CCU	IXZ	*	0	738
9W	CCU	PAT	*	0	AT7
9W	CCU	VNS	*	0	AT7
9W	CCU	VTZ	*	0	73G
9W	CJB	BLR	*	0	AT7
9W	CJB	BOM	*	0	738
9W	CJB	MAA	*	0	AT7
9W	CMB	BOM		0	73H
9W	COK	AUH		0	73H
9W	COK	AUH	*	0	320
9W	COK	BLR	*	0	AT7
9W	COK	BOM		0	73H
9W	COK	DMM		0	73H
9W	COK	DOH		0	73H
9W	COK	MAA	*	0	AT7 73H
9W	COK	MCT		0	73H
9W	COK	SHJ		0	73H
9W	DAC	BOM		0	739 73H
9W	DAC	CCU		0	738
9W	DAC	DEL		0	738
9W	DED	DEL		0	738
9W	DED	DEL	*	0	73H AT7
9W	DEL	AMD	*	0	73W 738
9W	DEL	ATQ		0	738
9W	DEL	ATQ	*	0	AT7 73H 738
9W	DEL	AUH		0	73H 320
9W	DEL	AUH	*	0	332
9W	DEL	BHO	*	0	AT7
9W	DEL	BKK		0	73H
9W	DEL	BLR		0	738 73H
9W	DEL	BLR	*	0	738 73H 739
9W	DEL	BOM		0	739 738 73H
9W	DEL	BOM	*	0	73H 738
9W	DEL	BRU		0	333
9W	DEL	CCU	*	0	738
9W	DEL	DAC		0	738
9W	DEL	DED		0	738
9W	DEL	DED	*	0	73H AT7
9W	DEL	DMM		0	73H
9W	DEL	DOH		0	73H
9W	DEL	DXB		0	73H
9W	DEL	GAU	*	0	738
9W	DEL	GOP	*	0	AT7
9W	DEL	HKG		0	332 77W
9W	DEL	HYD	*	0	73W 738
9W	DEL	IDR		0	73H
9W	DEL	IDR	*	0	AT7
9W	DEL	IXB		0	73W
9W	DEL	IXC	*	0	738 AT7
9W	DEL	IXJ	*	0	73H 738
9W	DEL	IXL	*	0	73W
9W	DEL	IXR	*	0	73H
9W	DEL	JAI		0	73H
9W	DEL	JAI	*	0	738 AT7
9W	DEL	JDH	*	0	AT7
9W	DEL	KTM		0	73H
9W	DEL	KUL	*	0	333 738
9W	DEL	LHR		0	77W
9W	DEL	LKO	*	0	AT7 73W 739 738
9W	DEL	MAA		0	73H 738
9W	DEL	PAT		0	73H
9W	DEL	PNQ		0	738 73H 73W
9W	DEL	RPR	*	0	73W
9W	DEL	SIN		0	73H
9W	DEL	SXR		0	738 73H
9W	DEL	UDR	*	0	AT7
9W	DEL	VNS	*	0	738
9W	DIB	GAU	*	0	738
9W	DIU	PBD	*	0	AT7
9W	DMM	AUH		0	73H
9W	DMM	BOM		0	73H
9W	DMM	COK		0	73H
9W	DMM	DEL		0	73H
9W	DMM	TRV		0	73H
9W	DOH	BOM		0	73H
9W	DOH	COK		0	73H
9W	DOH	DEL		0	73H
9W	DXB	BOM		0	73H
9W	DXB	DEL		0	73H
9W	DXB	IXE		0	73H
9W	EWR	BRU		0	333
9W	GAU	AJL	*	0	AT7
9W	GAU	CCU	*	0	AT7 738
9W	GAU	DEL	*	0	738
9W	GAU	DIB	*	0	738
9W	GAU	IMF	*	0	738
9W	GAU	IXS	*	0	AT7
9W	GOI	BLR	*	0	AT7
9W	GOI	BOM		0	73H
9W	GOI	BOM	*	0	73G 738
9W	GOI	MAA		0	738
9W	GOP	DEL	*	0	AT7
9W	HKG	BOM		0	77W
9W	HKG	DEL		0	332 77W
9W	HYD	AUH		0	73H
9W	HYD	AUH	*	0	320
9W	HYD	BLR	*	0	AT7
9W	HYD	BOM		0	738 73H
9W	HYD	BOM	*	0	73G
9W	HYD	DEL	*	0	738 73W
9W	HYD	KUL	*	0	738
9W	HYD	MAA	*	0	738 AT7
9W	HYD	PNQ	*	0	AT7
9W	HYD	RJA	*	0	AT7
9W	IDR	BLR	*	0	738
9W	IDR	BOM	*	0	73H 73G
9W	IDR	DEL		0	73H
9W	IDR	DEL	*	0	AT7
9W	IDR	PNQ	*	0	AT7
9W	IMF	GAU	*	0	738
9W	IXA	CCU	*	0	AT7
9W	IXB	CCU		0	738
9W	IXB	DEL		0	73W
9W	IXC	BOM		0	738
9W	IXC	DEL	*	0	738 AT7
9W	IXE	BLR		0	738
9W	IXE	BLR	*	0	AT7
9W	IXE	BOM		0	73H
9W	IXE	DXB		0	73H
9W	IXJ	DEL	*	0	73H 738
9W	IXL	DEL		0	73W
9W	IXL	DEL	*	0	73W
9W	IXM	MAA	*	0	AT7
9W	IXR	CCU	*	0	AT7
9W	IXR	DEL	*	0	73H
9W	IXS	CCU	*	0	AT7
9W	IXS	GAU	*	0	AT7
9W	IXU	BOM		0	738
9W	IXU	BOM	*	0	AT7
9W	IXZ	CCU	*	0	738
9W	IXZ	MAA		0	73H
9W	JAI	BOM	*	0	73G 73W
9W	JAI	DEL		0	73H
9W	JAI	DEL	*	0	738 AT7
9W	JDH	BOM		0	73H
9W	JDH	DEL	*	0	AT7
9W	JED	BOM		0	739
9W	JNB	BOM		0	332
9W	KTM	BOM		0	73H 739
9W	KTM	DEL		0	73H
9W	KUL	BLR	*	0	738
9W	KUL	BOM	*	0	772
9W	KUL	DEL	*	0	333 738
9W	KUL	HYD	*	0	738
9W	KUL	MAA	*	0	738
9W	KWI	AUH		0	73H
9W	KWI	BOM		0	73H
9W	LHR	BOM		0	77W
9W	LHR	DEL		0	77W
9W	LKO	BOM		0	73H
9W	LKO	DEL	*	0	AT7 73W 739 738
9W	MAA	AUH		0	73H
9W	MAA	AUH	*	0	321 320
9W	MAA	BLR	*	0	AT7 739 738 73H
9W	MAA	BOM		0	738 73H
9W	MAA	BOM	*	0	738
9W	MAA	CJB	*	0	AT7
9W	MAA	COK	*	0	AT7 73H
9W	MAA	DEL		0	738
9W	MAA	GOI		0	738
9W	MAA	HYD	*	0	738
9W	MAA	IXM	*	0	AT7
9W	MAA	IXZ		0	73H
9W	MAA	KUL	*	0	738
9W	MAA	SIN		0	73H
9W	MAA	TRZ	*	0	AT7
9W	MCT	BOM		0	73H
9W	MCT	COK		0	73H
9W	MCT	TRV		0	73H
9W	NAG	BOM	*	0	73G
9W	NBO	BOM	*	0	772 763
9W	NRT	BOM	*	0	737
9W	PAT	CCU	*	0	AT7
9W	PAT	DEL		0	73H
9W	PBD	BOM	*	0	AT7
9W	PNQ	BLR	*	0	738
9W	PNQ	BOM		0	738
9W	PNQ	DEL		0	738 73H 73W
9W	PNQ	HYD	*	0	AT7
9W	PNQ	IDR	*	0	AT7
9W	RAJ	BOM	*	0	73G
9W	RJA	HYD	*	0	AT7
9W	RPR	BHO	*	0	738
9W	RPR	BOM	*	0	738
9W	RPR	DEL	*	0	73W
9W	RUH	BOM		0	739 73H
9W	SHJ	COK		0	73H
9W	SIN	BOM		0	73H
9W	SIN	DEL		0	73H
9W	SIN	MAA		0	73H
9W	SXR	DEL		0	738 73H
9W	TRV	AUH	*	0	320
9W	TRV	BLR	*	0	73H
9W	TRV	BOM		0	73H
9W	TRV	DMM		0	73H
9W	TRV	MCT		0	73H
9W	TRZ	MAA	*	0	AT7
9W	UDR	BOM	*	0	73H 73G
9W	UDR	DEL	*	0	AT7
9W	VNS	CCU	*	0	AT7
9W	VNS	DEL	*	0	738
9W	VTZ	BLR	*	0	73G
9W	VTZ	BOM		0	738
9W	VTZ	CCU	*	0	73G
9W	YYZ	BRU		0	332 333
A2	ATH	JSH		0	143
A2	CFU	SKG		0	143
A2	JKH	SKG		0	143
A2	JSH	ATH		0	143
A2	KLX	SKG		0	143
A2	SKG	CFU		0	143
A2	SKG	JKH		0	143
A2	SKG	KLX		0	143
A2	SKG	SMI		0	143
A2	SMI	SKG		0	143
A3	AOK	ATH		0	DH4
A3	AOK	KSJ		0	DH8
A3	AOK	RHO		0	DH8
A3	ARN	KLX		0	319
A3	ARN	SKG	*	0	736
A3	ATH	AOK		0	DH4
A3	ATH	AUH		0	321 320
A3	ATH	AXD		0	320 DH4 321
A3	ATH	BCN		0	320 321
A3	ATH	BEG		0	DH4
A3	ATH	BRU		0	321 320
A3	ATH	BRU	*	0	319
A3	ATH	BUD		0	320
A3	ATH	CAI		0	738
A3	ATH	CDG		0	321 320
A3	ATH	CFU		0	DH4 320
A3	ATH	CHQ		0	320 DH4
A3	ATH	DME		0	320 321
A3	ATH	DUS		0	320
A3	ATH	EFL		0	DH4
A3	ATH	FCO		0	320
A3	ATH	FRA		0	321
A3	ATH	FRA	*	0	321
A3	ATH	GVA		0	320
A3	ATH	HBE		0	E70
A3	ATH	HER		0	321 DH4 320
A3	ATH	IEV		0	320
A3	ATH	IOA		0	DH4
A3	ATH	IST		0	320
A3	ATH	JIK		0	DH4
A3	ATH	JKH		0	DH4 319
A3	ATH	JKL		0	DH8
A3	ATH	JMK		0	320 DH4
A3	ATH	JNX		0	DH8
A3	ATH	JSI		0	DH4
A3	ATH	JSY		0	DH8
A3	ATH	JTR		0	321 320 DH4 319
A3	ATH	JTY		0	DH8
A3	ATH	KGS		0	320 DH4
A3	ATH	KIT		0	DH4
A3	ATH	KVA		0	DH4
A3	ATH	LCA		0	320
A3	ATH	LED		0	320
A3	ATH	LHR		0	321 320
A3	ATH	LRS		0	DH8
A3	ATH	LXS		0	DH4
A3	ATH	LYS		0	320
A3	ATH	MAD		0	320
A3	ATH	MAN		0	320
A3	ATH	MJT		0	320 DH4
A3	ATH	MLO		0	DH8
A3	ATH	MRS		0	320
A3	ATH	MUC		0	320
A3	ATH	MUC	*	0	321
A3	ATH	MXP		0	320
A3	ATH	NTE		0	320
A3	ATH	OSL	*	0	73W 73G
A3	ATH	OTP		0	320 DH4
A3	ATH	PAS		0	DH8
A3	ATH	PHL	*	0	332
A3	ATH	PRG		0	320
A3	ATH	RHO		0	320 DH4
A3	ATH	SKG		0	320 321 DH4
A3	ATH	SKU		0	DH4
A3	ATH	SMI		0	DH4
A3	ATH	SOF		0	DH4
A3	ATH	TBS		0	320
A3	ATH	TIA		0	DH4
A3	ATH	TLV		0	320
A3	ATH	TXL		0	320
A3	ATH	VIE		0	320
A3	ATH	WAW		0	320
A3	ATH	ZTH		0	DH4
A3	AUH	ATH		0	321 320
A3	AXD	ATH		0	320 DH4 321
A3	BCN	ATH		0	320 321
A3	BEG	ATH		0	DH4
A3	BOD	HER		0	320
A3	BRU	ATH		0	321 320
A3	BRU	ATH	*	0	319
A3	BRU	HER		0	320
A3	BUD	ATH		0	320
A3	CAI	ATH		0	738
A3	CDG	ATH		0	321 320
A3	CDG	HER		0	320
A3	CDG	RHO		0	320
A3	CDG	SKG		0	320
A3	CFU	ATH		0	DH4 320
A3	CFU	DME		0	320
A3	CHQ	ATH		0	320 DH4
A3	CHQ	SKG		0	320
A3	CPH	SKG	*	0	320
A3	DME	ATH		0	320 321
A3	DME	CFU		0	320
A3	DME	HER		0	320
A3	DME	KGS		0	320
A3	DME	RHO		0	320
A3	DME	SKG		0	320
A3	DUS	ATH		0	320
A3	DUS	HER		0	320
A3	DUS	KLX		0	319
A3	DUS	SKG		0	321
A3	EFL	ATH		0	DH4
A3	FCO	ATH		0	320
A3	FRA	ATH		0	321
A3	FRA	ATH	*	0	321
A3	FRA	HER		0	320
A3	FRA	SKG		0	321
A3	GVA	ATH		0	320
A3	GVA	OPO	*	0	320 319
A3	HAJ	SKG		0	320
A3	HBE	ATH		0	E70
A3	HER	ATH		0	321 DH4 320
A3	HER	BOD		0	320
A3	HER	BRU		0	320
A3	HER	CDG		0	320
A3	HER	DME		0	320
A3	HER	DUS		0	320
A3	HER	FRA		0	320
A3	HER	LED		0	320
A3	HER	MRS		0	320
A3	HER	MUC		0	320
A3	HER	RHO		0	320
A3	HER	SKG		0	320
A3	HER	TLV		0	320
A3	HER	TXL		0	320
A3	HER	VIE		0	320
A3	IEV	ATH		0	320
A3	IOA	ATH		0	DH4
A3	IST	ATH		0	320
A3	JIK	ATH		0	DH4
A3	JKH	ATH		0	DH4 319
A3	JKL	ATH		0	DH8
A3	JKL	KGS		0	DH8
A3	JKL	LRS		0	DH8
A3	JMK	ATH		0	320 DH4
A3	JNX	ATH		0	DH8
A3	JSH	KSJ		0	DH8
A3	JSI	ATH		0	DH4
A3	JSY	ATH		0	DH8
A3	JTR	ATH		0	321 320 DH4 319
A3	JTY	ATH		0	DH8
A3	JTY	LRS		0	DH8
A3	KGS	ATH		0	320 DH4
A3	KGS	DME		0	320
A3	KGS	JKL		0	DH8
A3	KGS	RHO		0	DH8
A3	KIT	ATH		0	DH4
A3	KLX	ARN		0	319
A3	KLX	DUS		0	319
A3	KLX	MUC		0	319
A3	KSJ	AOK		0	DH8
A3	KSJ	JSH		0	DH8
A3	KVA	ATH		0	DH4
A3	KZS	RHO		0	DH8
A3	LCA	ATH		0	320
A3	LCA	SKG		0	320
A3	LED	ATH		0	320
A3	LED	HER		0	320
A3	LED	RHO		0	320
A3	LED	SKG		0	320
A3	LHR	ATH		0	321 320
A3	LRS	ATH		0	DH8
A3	LRS	JKL		0	DH8
A3	LRS	JTY		0	DH8
A3	LXS	ATH		0	DH4
A3	LYS	ATH		0	320
A3	MAD	ATH		0	320
A3	MAN	ATH		0	320
A3	MJT	ATH		0	320 DH4
A3	MJT	SKG		0	320
A3	MLO	ATH		0	DH8
A3	MRS	ATH		0	320
A3	MRS	HER		0	320
A3	MUC	ATH		0	320
A3	MUC	ATH	*	0	321
A3	MUC	HER		0	320
A3	MUC	KLX		0	319
A3	MUC	SKG		0	320
A3	MXP	ATH		0	320
A3	NTE	ATH		0	320
A3	NUE	SKG		0	320
A3	OSL	ATH	*	0	73W 73G
A3	OTP	ATH		0	320 DH4
A3	PAS	ATH		0	DH8
A3	PHL	ATH	*	0	332
A3	PRG	ATH		0	320
A3	RHO	AOK		0	DH8
A3	RHO	ATH		0	320 DH4
A3	RHO	CDG		0	320
A3	RHO	DME		0	320
A3	RHO	HER		0	320
A3	RHO	KGS		0	DH8
A3	RHO	KZS		0	DH8
A3	RHO	LED		0	320
A3	RHO	SKG		0	320
A3	SKG	ARN	*	0	736
A3	SKG	ATH		0	320 321 DH4
A3	SKG	CDG		0	320
A3	SKG	CHQ		0	320
A3	SKG	CPH	*	0	320
A3	SKG	DME		0	320
A3	SKG	DUS		0	321
A3	SKG	FRA		0	321
A3	SKG	HAJ		0	320
A3	SKG	HER		0	320
A3	SKG	LCA		0	320
A3	SKG	LED		0	320
A3	SKG	MJT		0	320
A3	SKG	MUC		0	320
A3	SKG	NUE		0	320
A3	SKG	RHO		0	320
A3	SKG	STR		0	320
A3	SKU	ATH		0	DH4
A3	SMI	ATH		0	DH4
A3	SOF	ATH		0	DH4
A3	STR	SKG		0	320
A3	TBS	ATH		0	320
A3	TIA	ATH		0	DH4
A3	TLV	ATH		0	320
A3	TLV	HER		0	320
A3	TXL	ATH		0	320
A3	TXL	HER		0	320
A3	VIE	ATH		0	320
A3	VIE	HER		0	320
A3	WAW	ATH		0	320
A3	ZRH	LIS		0	320
A3	ZTH	ATH		0	DH4
A4	BYC	SRZ		0	SWM
A4	BYC	TJA		0	SWM
A4	CBB	TDD		0	SWM
A4	CIJ	TDD		0	SWM
A4	GYA	TDD		0	SWM
A4	LPB	POI		0	SWM
A4	LPB	SRZ		0	SWM
A4	LPB	TDD		0	SWM
A4	ORU	CBB		0	SWM
A4	ORU	SRZ		0	SWM
A4	POI	LPB		0	SWM
A4	RIB	TDD		0	SWM
A4	SRZ	BYC		0	SWM
A4	SRZ	LPB		0	SWM
A4	SRZ	ORU		0	SWM
A4	SRZ	TDD		0	SWM
A4	TDD	CBB		0	SWM
A4	TDD	CIJ		0	SWM
A4	TDD	GYA		0	SWM
A4	TDD	LPB		0	SWM
A4	TDD	RIB		0	SWM
A4	TDD	SRZ		0	SWM
A4	TJA	BYC		0	SWM
